what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1339742410546
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339742418359
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1339742418609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1339742418656
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339742440171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339742824671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743171140
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1339743188562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1339743189812
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339743190703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743195109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1339743195921
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1339743199125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743199140
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1339743199156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743199421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743203328
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339743208343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743210296
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1339743212828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743212859
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1339743212875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743213156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743217046
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339743224687
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339743226781
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339743274390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743288671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743288671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743288781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339743302718
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1339743324390
