what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733364171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733364546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733364906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733365343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733367062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733367375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1339733367703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1339733414671
closed,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339733416468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733425281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733451890
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339733470656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733478656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733482187
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1339733482187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733505406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733508734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339733950281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339734838703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339734839328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339734839343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339734839406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735547375
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339735553468
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1339735557265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1339735574000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1339735578218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735582750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735584000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1339735584187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735599000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735601984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735607312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339735619968
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1339735652343
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1339735652343
