what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577943904578
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577943904700
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577943907672
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577943907885
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1577943909412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577943914107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944713680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1577944716345
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944718861
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.run",1577944721590
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944722356
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944723778
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944723994
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944724344
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944725096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944729220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944731875
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944731882
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944733001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944780813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944782434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944819515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944836914
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1577944839773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1577944840163
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944841771
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.run",1577944843916
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944844784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944846141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944846543
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944846551
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944847421
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577944852461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944857466
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577944862240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944878825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944880253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944934969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577944939513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577945023684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577945025347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577945059945
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1577945061972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1577945062230
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577945064242
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.run",1577945065915
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577945066497
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577945067696
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577945067836
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1577945067995
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577945068680
