what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903268236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903316937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903318916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903320427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903321357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903518523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903519536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903564356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903565424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903581843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903582310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903607635
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1581903614302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903614360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903616385
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1581903616673
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1581903616809
opened,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1581903616904
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1581903617484
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1581903622675
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1581903639650
opened,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1581903639901
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1581903639942
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110207-1700,"org.eclipse.team.svn.core",1581903640138
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui",1581903640182
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1581903640404
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1581903640437
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.run",1581903641363
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1581903641380
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1581903641604
started,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1581903641792
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1581903641946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581903642529
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1581903647526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903648842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1581903671864
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581903671870
