what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594627971634
opened,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1594627971889
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1594627971957
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594627975238
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1594627984094
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1594627984152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594627988249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594627990461
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594627994380
opened,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594627994519
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594627994586
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594627996592
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1594628008393
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1594628014788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628023977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628050874
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594628067151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628082234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628153311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628165210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628258760
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628268216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628281578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628317815
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594628319955
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1594628320692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1594628320836
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1594628328355
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594628333724
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628333917
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1594628339855
opened,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628346228
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628346281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628350228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628350523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628352695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628448297
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628451966
closed,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628451987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1594628453243
closed,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628453328
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628455002
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1594628455268
closed,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1594628455410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628462786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628504389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628506332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628515780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628516261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628517620
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1594628517925
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1594628519573
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1594628519746
