what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1579673927360
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1579673943062
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579673948075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674006808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674517529
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1579674523098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674523153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674524031
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674524235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674540944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674543687
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674543872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674543930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674546483
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1579674546864
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674562563
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674563038
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1579674570739
opened,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674575294
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674575702
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1579674576938
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674577016
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674588810
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674600705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674620467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674698431
opened,view,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1579674698643
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1579674698972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674702889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674704121
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579674704173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674706220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674820439
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674821867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674823407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674938069
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674940429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674947288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674949075
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579674949107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579674974275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675189825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675190919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675247784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675248545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675425931
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579675425953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579675427862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676185016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676186298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676187787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676188716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676363991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676364616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676485792
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676485810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676553234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676600783
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676602226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676640692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676644916
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676644995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676647472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676648315
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676648398
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676665490
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676728384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676730618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676731381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676731456
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676733908
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676768083
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676769491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676775013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676776147
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676776175
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676779691
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676780720
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676792702
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676810554
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676813027
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676826277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676828605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676867220
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676869579
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676889928
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676916177
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579676927842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579676946059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676985796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676986403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579676986707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579677183505
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1579677183552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579677184261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579677470322
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579677470381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579677481542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1579677752243
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579677758087
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579677767339
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1579677769599
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1579677772509
