what,kind,bundleId,bundleVersion,description,time
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358379055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358383175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358432372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358442240
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358445111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358451925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358453094
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358512304
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358513733
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358517802
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358520001
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358529134
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358530345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358533946
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358535334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358536331
activated,editor,egovframework.dev.imp.dbio,2.0.1.201111250803,"egovframework.dev.imp.dbio.editor.sqlMapEditor",1580358540050
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358551040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358571895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358578018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358579090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358579172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358614052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358614833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358616086
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358616250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358625758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358625832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580358642326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358646533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580358647447
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580358647547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580358668520
