what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1580448682741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580448689641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448690781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448700963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580448714192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448715034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448720541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580448725903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448726604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448739982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580448756659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580448757142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580448757531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1580448814353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1580448815329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580448822217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448827829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448831482
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580448832646
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580448853718
error,log,,,"IStructuredDocumentRegion management failed.",1580448861168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580448863844
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580448869672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448869964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448876833
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580448891354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580448923644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580448986714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449125656
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.add.block.comment",1580449166330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449167924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449183570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449187645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449192523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449199106
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580449199937
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580449212386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449219972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449226480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449232991
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580449234128
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580449260621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580449260679
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580449266491
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580449268726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449300536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449301900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449308211
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580449309152
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580449316580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449329005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449342155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449350429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449351071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580449367639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449385364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449404704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449406661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449432676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449437030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449438080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449461574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449463948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449464942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449475141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580449475634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580449475877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580449476133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1580449476385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1580449477769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449485926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449491098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449496802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449504745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449505563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449541845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449548615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449556381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449559255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449684274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449689586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449692154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449742492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580449747173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449748602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449785085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449788479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449788979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449790609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449791278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580449791772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450119967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450128794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450130983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450147284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450155202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450192256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450193639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450194044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450200770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450207517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450210054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450227403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450234735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450237173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450431546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450436799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450438651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1580450441895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1580450442942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1580450458114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450460119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450473401
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580450474695
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1580450496303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450500939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450504649
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580450505579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580450529597
